Exit Date,Entry Date,Cost,Realized P&L
2023-05-08,2023-05-04,5611.98,-2463.99
2023-05-16,2023-05-10,7095.32,3543.27
2023-05-18,2023-05-16,7223.32,2925.27
2023-05-19,2023-05-08,5086.98,-2598.99
2023-05-26,2023-05-18,6765.32,4299.26
2023-05-31,2023-05-08,5341.98,-4599.97
2023-06-02,2023-05-31,4330.98,1937.03
2023-06-05,2023-05-19,5128.30,3593.32
2023-06-07,2023-05-26,7585.32,1813.28
2023-06-08,2023-05-23,4051.98,-454.00
2023-06-12,2023-06-01,3343.98,2798.43
2023-06-12,2023-05-04,6363.96,-5689.04
2023-06-14,2023-05-23,3861.32,3927.66
2023-06-16,2023-05-04,5153.30,-5153.30
2023-06-30,2023-06-07,7821.32,1507.58
2023-07-05,2023-05-17,5366.60,388.23
2023-07-05,2023-06-14,5595.02,1603.90
2023-07-06,2023-06-30,5905.02,-3806.06
2023-07-10,2023-06-08,5431.98,842.43
2023-07-11,2023-06-05,4878.30,3729.07
2023-07-12,2023-06-12,3700.53,2993.88
2023-07-14,2023-06-12,4953.06,-660.17
2023-07-14,2023-06-14,4181.08,497.90
2023-07-17,2023-07-05,5261.02,1717.90
2023-07-18,2023-06-16,5536.53,-3843.08
2023-07-20,2023-05-23,4981.32,-3882.35
2023-07-25,2023-07-17,6754.53,3503.85
2023-07-26,2023-06-29,5122.04,3255.84
2023-07-28,2023-07-12,4852.53,3650.93
2023-07-31,2023-07-14,5641.53,-4425.08
2023-08-02,2023-07-05,6005.10,4449.68
2023-08-07,2023-07-25,6346.53,-2688.10
2023-08-09,2023-07-11,7302.55,-4305.14
2023-08-15,2023-07-10,5167.53,-3369.09
2023-08-15,2023-07-14,4953.06,-3552.15
2023-08-16,2023-07-26,4522.04,-692.12
2023-08-17,2023-07-20,5901.02,-2802.07
2023-08-17,2023-08-07,7502.56,3934.78
2023-08-17,2023-08-02,5755.11,3119.68
2023-08-21,2023-08-07,7891.53,-3801.10
2023-08-21,2023-08-17,5625.11,479.71
2023-08-28,2023-08-22,5341.53,658.88
2023-08-29,2023-08-16,5210.04,1747.85
2023-08-30,2023-08-15,4917.07,1619.80
2023-08-31,2023-08-08,6657.07,1811.78
2023-09-07,2023-07-31,8311.53,875.86
2023-09-14,2023-08-21,11116.53,3701.81
2023-09-15,2023-08-07,6452.56,1544.81
2023-09-21,2023-08-17,7942.56,-6570.14
2023-09-21,2023-08-22,6800.51,1523.91
2023-09-27,2023-09-06,6123.07,1913.78
2023-10-05,2023-09-27,6213.07,2093.78
2023-10-09,2023-08-28,7023.06,5429.76
2023-10-10,2023-08-31,6315.07,1061.79
2023-10-11,2023-08-29,5553.07,1637.79
2023-10-12,2023-08-30,5037.07,-4338.16
2023-10-16,2023-09-14,9511.53,764.85
2023-10-17,2023-09-21,7981.02,-5782.07
2023-10-20,2023-08-31,6452.56,-6452.56
2023-10-20,2023-09-07,7270.53,-7270.53
2023-10-24,2023-10-03,7841.02,3309.86
2023-10-26,2023-10-17,6991.02,5337.85
2023-10-26,2023-10-24,6413.02,12085.80
2023-10-31,2023-10-05,5853.07,-4326.16
2023-10-31,2023-10-09,6219.07,-3090.18
2023-11-03,2023-10-19,6210.14,4235.62
2023-11-08,2023-10-31,7364.09,-4686.22
2023-11-09,2023-09-21,9857.56,-8685.14
2023-11-14,2023-10-10,5763.07,-4920.16
2023-11-14,2023-10-16,9013.53,2963.82
2023-11-16,2023-10-04,7081.53,-1863.11
2023-11-16,2023-10-11,6015.06,-5133.16
2023-11-17,2023-10-26,7311.02,-7311.02
2023-11-28,2023-11-09,5875.11,4929.67
2023-11-30,2023-11-03,5346.15,3083.62
2023-12-01,2023-10-31,9219.07,2789.75
2023-12-04,2023-11-15,7002.05,4383.81
2023-12-06,2023-11-14,6455.53,2942.84
2023-12-06,2023-11-30,5910.14,4307.61
2023-12-13,2023-11-28,5255.11,-4470.25
2023-12-14,2023-12-04,7946.04,5011.80
2023-12-15,2023-10-31,6267.07,-6267.07
2023-12-15,2023-11-06,8107.56,-8107.56
2023-12-15,2023-11-09,7503.07,-7503.07
2023-12-21,2023-12-13,7345.11,4619.66
2024-01-04,2023-12-19,6564.09,5031.71
2024-01-16,2023-12-18,8121.02,-3056.09
